2016-12-01,177.6,258
11/2016,198,262.8
10/2016,189.6,268.8
9/2016,196.8,250.8
8/2016,194.4,259.2
7/2016,237.6,146.4
6/2016,205.2,182.4
5/2016,214.8,211.2
4/2016,200.4,182.4
3/2016,235.2,129.6
2/2016,180,127.2
1/2016,152.4,255.6
